ID,Rec_phase1b
1,Hutan Lindung
2,Hutan Produksi
3,Perkebunan
4,Perkotaaan
5,Pertanian Lahan Basah
6,Pertanian Lahan Kering
7,Sempadan Sungai
8,Taman Nasional Kerinci Sebelat
10,unresolved_case
11,unresolved_case
13,unresolved_case
14,unresolved_case
17,unresolved_case
23,unresolved_case
24,unresolved_case
25,unresolved_case
27,unresolved_case
28,unresolved_case
29,unresolved_case
30,unresolved_case
33,unresolved_case
34,unresolved_case
37,unresolved_case
38,unresolved_case
39,unresolved_case
42,unresolved_case
43,unresolved_case
44,unresolved_case
46,unresolved_case
47,unresolved_case
48,unresolved_case
49,unresolved_case
50,unresolved_case
51,unresolved_case
52,unresolved_case
53,unresolved_case
54,unresolved_case
55,Perkebunan_Bungo_F
56,unresolved
57,Hutan_Adat_Bungo_F
58,Tambang_Bungo_F
59,HTI_Bungo_F
