ID,Rec_phase1b
1,Kawasan Konservasi
2,Kawasan Lindung
3,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya
4,Kawasan Ekosistem Mangrove
5,Hutan Produksi
6,Pertanian
7,Permukiman
8,Pertambangan dan Energi
9,Perikanan
10,Badan Air
11,unresolved_case
15,unresolved_case
16,unresolved_case
17,unresolved_case
18,unresolved_case
21,unresolved_case
26,unresolved_case
27,unresolved_case
30,unresolved_case
31,unresolved_case
32,unresolved_case
33,unresolved_case
34,unresolved_case
35,unresolved_case
36,unresolved_case
37,PIAPS_F
38,Peat_F
39,unresolved
40,Konsesi_F
