ID,Rec_phase1b,PU_1,PU_2,PU_3,REFERENCE,COUNT
15,unresolved_case,-,PIAPS_F,-,Kawasan Konservasi,112
16,unresolved_case,-,PIAPS_F,-,Kawasan Lindung,1
30,unresolved_case,-,-,Peat_F,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,3
17,unresolved_case,-,PIAPS_F,-,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1686
21,unresolved_case,-,PIAPS_F,Peat_F,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,144
11,unresolved_case,-,-,Peat_F,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1285
18,unresolved_case,-,PIAPS_F,-,Kawasan Ekosistem Mangrove,1
33,unresolved_case,Konsesi_F,-,-,Hutan Produksi,168
26,unresolved_case,Konsesi_F,-,-,Hutan Produksi,2266
35,unresolved_case,Konsesi_F,-,-,Hutan Produksi,196
31,unresolved_case,Konsesi_F,-,-,Hutan Produksi,43
34,unresolved_case,Konsesi_F,-,-,Pertanian,4
27,unresolved_case,Konsesi_F,-,-,Pertanian,39259
36,unresolved_case,Konsesi_F,-,-,Pertanian,5
32,unresolved_case,Konsesi_F,-,-,Pertanian,21014
