ID,LC,NPV
1,Hutan lahan kering primer,0
2,Hutan lahan kering sekunder / bekas tebangan,0
5,Hutan mangrove primer,0
3,Hutan rawa primer,0
7,Hutan tanaman,1388
9,Semak belukar,0
8,Perkebunan,7663
16,Pemukiman,5787
18,Lahan terbuka,0
22,Awan,0
11,Savanna / Padang rumput,0
20,Tubuh air,0
6,Hutan mangrove sekunder,0
4,Hutan rawa sekunder,0
10,Semak belukar rawa,0
12,Pertanian lahan kering,18822
13,Pertanian lahan kering  campur semak / kebun campur,5301
14,Sawah,14785
15,Tambak,0
23,Bandara,0
17,Transmigrasi,0
19,Pertambangan,0
21,Rawa,0
