Tahun,Sawah_irigasi,Tadah_hujan,Luas_panen
2010,25910,2814,71674
2011,25989,2805,64123
2012,25909,2661,64338
2013,25823,2339,67151
2014,24752,2279,63831
2015,24875.76,2814,65107.62
2016,25000.1388,2814,66409.7724
2017,25125.13949,2814,67737.96785
2018,25250.76519,2814,69092.7272
2019,25377.01902,2814,70474.58175
2020,25503.90411,2814,71884.07338
2021,25631.42363,2814,73321.75485
2022,25759.58075,2814,74788.18995
2023,25888.37865,2814,76283.95375
2024,26017.82055,2814,76283.95375
2025,26147.90965,2814,76283.95375
2026,26278.6492,2814,76283.95375
2027,26410.04245,2814,76283.95375
2028,26542.09266,2814,76283.95375
2029,26674.80312,2814,76283.95375
2030,26808.17714,2814,76283.95375
