ID,Ternak,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1,Sapi pedaging,1124,1567,1688,2213,2250,2263.5,2277.081,2290.743486,2304.487947,2318.314875,2332.224764,2346.218112,2360.295421,2374.457194,2388.703937,2403.03616,2417.454377,2431.959104,2446.550858,2461.230163,2475.997544
2,Sapi perah,17655,17529,17704,14845,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347,12347
3,Kerbau,3267,1928,1818,1590,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531
4,Domba,21269,21290,21311,21332,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354
5,Kambing,197715,198704,203672,208763,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983,213983
6,Babi,8132,7576,7727,7881,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038,8038
7,Kuda,159,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
8,Ayam buras,1110743,1144065,1178387,1213740,1250152,1257652.912,1265198.829,1272790.022,1280426.763,1288109.323,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979,1295837.979
9,Ayam ras,5695722,5730600,5902518,6064838,7065168,7107559.008,7150204.362,7193105.588,7236264.222,7279681.807,7323359.898,7367300.057,7411503.858,7455972.881,7500708.718,7545712.97,7590987.248,7636533.172,7682352.371,7728446.485,7774817.164
10,Ayam petelur,1363826,1377000,1404540,1432110,1460752,1469516.512,1478333.611,1487203.613,1496126.834,1505103.595,1514134.217,1523219.022,1532358.336,1541552.486,1550801.801,1560106.612,1569467.252,1578884.055,1588357.36,1597887.504,1607474.829
11,Bebek,143827,151018,158569,166494,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819,174819
