Value,PL20,c_factor
1,Hutan lahan kering primer,0.001
2,Hutan lahan kering sekunder / bekas tebangan,0.01
3,Hutan rawa primer,0.001
4,Hutan rawa sekunder / bekas tebangan,0.01
5,Hutan mangrove primer,0.001
6,Hutan mangrove sekunder / bekas tebangan,0.01
7,Hutan tanaman,1
8,Perkebunan / Kebun,0.5
9,Semak belukar,0.3
10,Semak belukar rawa,0.3
11,Savanna / Padang rumput,0.5
12,Pertanian lahan kering,0.5
13,Pertanian lahan kering  campur semak / kebun campur,0.2
14,Sawah,0.1
15,Tambak,0
16,Permukiman / Lahan terbangun,0
17,Transmigrasi,0
18,Lahan terbuka,1
19,Pertambangan,1
20,Tubuh air,0
21,Rawa,0
22,Awan ,0
23,Bandara / Pelabuhan,0
