Padi,Pertanian
Tanaman umbi-umbian,Pertanian
Sayur-sayuran dan buah-buahan,Pertanian
Tanaman bahan makanan lainnya,Pertanian
Karet,Perkebunan
Kelapa,Perkebunan
Kelapa sawit,Perkebunan
Kopi,Perkebunan
Kayu Manis,Perkebunan
Tanaman perkebunan lainnya,Perkebunan
Peternakan dan Hasil-hasilnya,Peternakan
Kayu Bulat,Kehutanan
Kayu Hutan Tanaman Industri,Kehutanan
Hasil hutan lainnya,Kehutanan
Perikanan,Peternakan
Pertambangan Migas,Pertambangan
Pertambangan Batubara,Pertambangan
Pertambangan Non-Migas Lainnya,Pertambangan
Pengilangan minyak bumi,Industri
Industri Pengolahan Hasil Laut,Industri
Industri Kelapa Sawit,Industri berbasis lahan
"Industri penggilingan padi, biji-bijian",Industri berbasis lahan
Industri makanan dan minuman lainnya,Industri berbasis lahan
"Industri tekstil, barang kulit, dan alas kaki",Industri berbasis lahan
Industri barang dari kayu dan hasil hutan lainnya,Industri berbasis lahan
Industri kertas dan barang dari kertas,Industri berbasis lahan
"Industri pupuk, kimia, dan barang dari karet",Industri
"Industri semen, dan barang galian bukan logam",Industri
Industri alat angkutan mesin dan peralatannya,Industri
Industri barang lainnya,Industri
Listrik dan air minum,Lain-lain
Bangunan,Lain-lain
Perdagangan,Lain-lain
Restoran dan hotel,Lain-lain
Angkutan Jalan Raya,Lain-lain
Angkutan Laut,Lain-lain
Angkutan Sungai dan Danau,Lain-lain
Angkutan udara,Lain-lain
Jasa penunjang angkutan,Lain-lain
Komunikasi,Lain-lain
Bank dan Lembaga keuangan,Lain-lain
Usaha Bangunan dan jasa perusahaan,Lain-lain
Pemerintahan umum dan pertahanan,Lain-lain
Jasa sosial kemasyarakatan,Lain-lain
Jasa lainnya,Lain-lain
Kegiatan yang tak jelas batasannya,Lain-lain
