ID,LC,CARBON,color_palette
1,Primary Forest,261.52,#005500
2,Logged-over Forest (High Density),192.81,#009933
3,Logged-over Forest (Low Density),129.97,#999900
4,Primary Swamp Forest,261.52,#663300
5,Secondary Swamp Forest,141.3,#996600
6,Primary Peat Swamp Forest,261.52,#999900
7,Secondary Peat Swamp Forest,141.3,#e68a00
8,Primary Mangrove Forest,261.52,#80ffbf
9,Secondary Mangrove Forest,129.97,#ffcc99
10,Rubber Agroforestry,69,#d86b00
11,Coconut/Areca Nut Agroforestry,31.8,#ffaa7f
12,Cinnamon Agroforestry,61.6,#aaff7f
13,Coffee Agroforestry,47.6,#a9ba9d
14,Mixed Gardens,73.21,#ff9200
15,Akasia Industrial Plantation Forest,57.9,#00e5ff
16,Rubber Monoculture,40.5,#7f14b8
17,Oil Palm,40,#ff55ff
18,Coconut,54.96,#ff0000
19,Shrubland,43,#ffcc99
20,Agricultural Land,9.5,#ffdd00
21,Rice Fields,0.99,#ffff66
22,Tea Plantation,43,#ff00ff
23,Grassland,3.35,#00557f
24,Open Land,3.35,#ff0000
25,Settlement,4.14,#ffccff
26,Peat Rubber Agroforestry,69,#663300
27,Peat Coconut/Areca Nut Agroforestry,31.8,#996600
29,Peat Coffee Agroforestry,47.6,#666633
30,Peat Mixed Gardens,73.21,#999900
31,Peat Akasia Industrial Plantation Forest,57.9,#e68a01
32,Peat Rubber Monoculture,40.5,#80ffbf
33,Peat Oil Palm,40,#ffcc100
34,Peat Coconut,54.96,#ffbf81
35,Peat Shrubland,43,#ccffe7
36,Peat Agricultural Land,9.5,#ff9901
37,Peat Rice Fields,0.99,#cc00ff
39,Peat Grassland,3.35,#ffff67
40,Peat Open Land,3.35,#b3b3ff
41,Peat Settlement,4.14,#ffccff
42,Water,0,#00007f
43,Cinnamon Monoculture,61.6,#ffaa00
