name_common,name_sp,class,name_parameter,value,unit
banana,Musa acuminate COLLA,S1,clim_dry_months,3<,bulan
banana,Musa acuminate COLLA,S2,clim_dry_months,3-4,bulan
banana,Musa acuminate COLLA,S3,clim_dry_months,4-6,bulan
banana,Musa acuminate COLLA,N,clim_dry_months,>6,bulan
banana,Musa acuminate COLLA,S1,clim_humidity,>60,%
banana,Musa acuminate COLLA,S2,clim_humidity,50-60,%
banana,Musa acuminate COLLA,S3,clim_humidity,30-50,%
banana,Musa acuminate COLLA,N,clim_humidity,30<,%
banana,Musa acuminate COLLA,S1,clim_precipitation_tot,1500-2500,mm
banana,Musa acuminate COLLA,S2,clim_precipitation_tot,1250-1500,mm
banana,Musa acuminate COLLA,S2,clim_precipitation_tot,2500-3000,mm
banana,Musa acuminate COLLA,S3,clim_precipitation_tot,1000-1250,mm
banana,Musa acuminate COLLA,S3,clim_precipitation_tot,3000-4000,mm
banana,Musa acuminate COLLA,N,clim_precipitation_tot,1000<,mm
banana,Musa acuminate COLLA,N,clim_precipitation_tot,>4000,mm
banana,Musa acuminate COLLA,S1,clim_temperature_avg,25-27,°C
banana,Musa acuminate COLLA,S2,clim_temperature_avg,27-30,°C
banana,Musa acuminate COLLA,S2,clim_temperature_avg,22-25,°C
banana,Musa acuminate COLLA,S3,clim_temperature_avg,30-35,°C
banana,Musa acuminate COLLA,S3,clim_temperature_avg,18-22,°C
banana,Musa acuminate COLLA,N,clim_temperature_avg,>35,°C
banana,Musa acuminate COLLA,N,clim_temperature_avg,18<,°C
banana,Musa acuminate COLLA,S1,soil_base_saturation,>50,%
banana,Musa acuminate COLLA,S2,soil_base_saturation,35-50,%
banana,Musa acuminate COLLA,S3,soil_base_saturation,35<,%
banana,Musa acuminate COLLA,S1,soil_cec,>16,cmol
banana,Musa acuminate COLLA,S2,soil_cec,5-16,cmol
banana,Musa acuminate COLLA,S3,soil_cec,5<,cmol
banana,Musa acuminate COLLA,S1,soil_coarse_fragments,15<,%
banana,Musa acuminate COLLA,S2,soil_coarse_fragments,15-35,%
banana,Musa acuminate COLLA,S3,soil_coarse_fragments,35-55,%
banana,Musa acuminate COLLA,N,soil_coarse_fragments,>55,%
banana,Musa acuminate COLLA,S1,soil_depth,>75,cm
banana,Musa acuminate COLLA,S2,soil_depth,>75,cm
banana,Musa acuminate COLLA,S3,soil_depth,50-75,cm
banana,Musa acuminate COLLA,N,soil_depth,50<,cm
banana,Musa acuminate COLLA,S1,soil_drainage,baik;agakterhambat,unitless
banana,Musa acuminate COLLA,S2,soil_drainage,agakcepat;sedang,unitless
banana,Musa acuminate COLLA,S3,soil_drainage,terhambat,unitless
banana,Musa acuminate COLLA,N,soil_drainage,sangatterhambat;cepat,unitless
banana,Musa acuminate COLLA,S1,soil_elevation,1200<,m
banana,Musa acuminate COLLA,S2,soil_elevation,1200-1500,m
banana,Musa acuminate COLLA,S3,soil_elevation,1500-2000,m
banana,Musa acuminate COLLA,N,soil_elevation,>2000,m
banana,Musa acuminate COLLA,S1,soil_erosion_risk,0.15<,unitless
banana,Musa acuminate COLLA,S2,soil_erosion_risk,0.15-0.9,unitless
banana,Musa acuminate COLLA,S2,soil_erosion_risk,0.9-1.8,unitless
banana,Musa acuminate COLLA,S3,soil_erosion_risk,1.8-4.8,unitless
banana,Musa acuminate COLLA,N,soil_erosion_risk,>4.8,unitless
banana,Musa acuminate COLLA,S1,soil_esp,4<,%
banana,Musa acuminate COLLA,S2,soil_esp,4-8,%
banana,Musa acuminate COLLA,S3,soil_esp,8-12,%
banana,Musa acuminate COLLA,N,soil_esp,>12,%
banana,Musa acuminate COLLA,S1,soil_flood_height,25,cm
banana,Musa acuminate COLLA,S2,soil_flood_height,25-50,cm
banana,Musa acuminate COLLA,S3,soil_flood_height,50-75,cm
banana,Musa acuminate COLLA,N,soil_flood_height,>75,cm
banana,Musa acuminate COLLA,S1,soil_flood_length,7<,hari
banana,Musa acuminate COLLA,S2,soil_flood_length,7-10,hari
banana,Musa acuminate COLLA,S3,soil_flood_length,10-14,hari
banana,Musa acuminate COLLA,N,soil_flood_length,>14,hari
banana,Musa acuminate COLLA,S1,soil_k2o,>20,mg/100 g
banana,Musa acuminate COLLA,S2,soil_k2o,10-20,mg/100 g
banana,Musa acuminate COLLA,S3,soil_k2o,10<,mg/100 g
banana,Musa acuminate COLLA,S1,soil_nitrogen,>0.2,%
banana,Musa acuminate COLLA,S2,soil_nitrogen,0.10-0.20,%
banana,Musa acuminate COLLA,S3,soil_nitrogen,0.10<,%
banana,Musa acuminate COLLA,S1,soil_organic_c,>1.2,%
banana,Musa acuminate COLLA,S2,soil_organic_c,0.8-1.2,%
banana,Musa acuminate COLLA,S3,soil_organic_c,0.8<,%
banana,Musa acuminate COLLA,S1,soil_outcrop,5<,%
banana,Musa acuminate COLLA,S2,soil_outcrop,5-15,%
banana,Musa acuminate COLLA,S3,soil_outcrop,15-25,%
banana,Musa acuminate COLLA,N,soil_outcrop,>25,%
