name_common,name_sp,class,name_parameter,value,unit
candlenut,Aleuriteus moluccana WILLD,S1,clim_dry_months,4-6,bulan
candlenut,Aleuriteus moluccana WILLD,S2,clim_dry_months,4<,bulan
candlenut,Aleuriteus moluccana WILLD,N,clim_dry_months,>6,bulan
candlenut,Aleuriteus moluccana WILLD,S1,clim_humidity,75<,%
candlenut,Aleuriteus moluccana WILLD,S2,clim_humidity,>75,%
candlenut,Aleuriteus moluccana WILLD,S1,clim_precipitation_tot,1000-2500,mm
candlenut,Aleuriteus moluccana WILLD,S2,clim_precipitation_tot,2500-3000,mm
candlenut,Aleuriteus moluccana WILLD,S2,clim_precipitation_tot,800-1000,mm
candlenut,Aleuriteus moluccana WILLD,N,clim_precipitation_tot,>3000,mm
candlenut,Aleuriteus moluccana WILLD,N,clim_precipitation_tot,800<,mm
candlenut,Aleuriteus moluccana WILLD,S1,clim_temperature_avg,21-27,°C
candlenut,Aleuriteus moluccana WILLD,S2,clim_temperature_avg,27-34,°C
candlenut,Aleuriteus moluccana WILLD,S2,clim_temperature_avg,18-21,°C
candlenut,Aleuriteus moluccana WILLD,N,clim_temperature_avg,>34,°C
candlenut,Aleuriteus moluccana WILLD,N,clim_temperature_avg,18<,°C
candlenut,Aleuriteus moluccana WILLD,S1,soil_base_saturation,>50,%
candlenut,Aleuriteus moluccana WILLD,S2,soil_base_saturation,35-50,%
candlenut,Aleuriteus moluccana WILLD,S3,soil_base_saturation,35<,%
candlenut,Aleuriteus moluccana WILLD,S1,soil_cec,>16,cmol
candlenut,Aleuriteus moluccana WILLD,S2,soil_cec,5-16,cmol
candlenut,Aleuriteus moluccana WILLD,S3,soil_cec,5<,cmol
candlenut,Aleuriteus moluccana WILLD,S1,soil_coarse_fragments,0-15,%
candlenut,Aleuriteus moluccana WILLD,S2,soil_coarse_fragments,15-35,%
candlenut,Aleuriteus moluccana WILLD,S3,soil_coarse_fragments,35-55,%
candlenut,Aleuriteus moluccana WILLD,N,soil_coarse_fragments,>55,%
candlenut,Aleuriteus moluccana WILLD,S1,soil_depth,>100,cm
candlenut,Aleuriteus moluccana WILLD,S2,soil_depth,75-100,cm
candlenut,Aleuriteus moluccana WILLD,S3,soil_depth,50-75,cm
candlenut,Aleuriteus moluccana WILLD,N,soil_depth,50<,cm
candlenut,Aleuriteus moluccana WILLD,S1,soil_drainage,baik;sedang,unitless
candlenut,Aleuriteus moluccana WILLD,S2,soil_drainage,agakterhambat,unitless
candlenut,Aleuriteus moluccana WILLD,S3,soil_drainage,terhambat;agakcepat,unitless
candlenut,Aleuriteus moluccana WILLD,N,soil_drainage,sangatterhambat;cepat,unitless
candlenut,Aleuriteus moluccana WILLD,S1,soil_erosion_risk,0.15<,unitless
candlenut,Aleuriteus moluccana WILLD,S2,soil_erosion_risk,0.15-0.9,unitless
candlenut,Aleuriteus moluccana WILLD,S2,soil_erosion_risk,0.9-1.8,unitless
