name_common,name_sp,class,name_parameter,value,unit
durian,Durio zibethinus MURR,S1,clim_humidity,>42,%
durian,Durio zibethinus MURR,S2,clim_humidity,36-42,%
durian,Durio zibethinus MURR,S3,clim_humidity,30-36,%
durian,Durio zibethinus MURR,N,clim_humidity,30<,%
durian,Durio zibethinus MURR,S1,clim_precipitation_tot,2000-3000,mm
durian,Durio zibethinus MURR,S2,clim_precipitation_tot,1750-2000,mm
durian,Durio zibethinus MURR,S2,clim_precipitation_tot,3000-3500,mm
durian,Durio zibethinus MURR,S3,clim_precipitation_tot,1250-1750,mm
durian,Durio zibethinus MURR,S3,clim_precipitation_tot,3000-4000,mm
durian,Durio zibethinus MURR,N,clim_precipitation_tot,1250<,mm
durian,Durio zibethinus MURR,N,clim_precipitation_tot,>4000,mm
durian,Durio zibethinus MURR,S1,clim_temperature_avg,25-28,°C
durian,Durio zibethinus MURR,S2,clim_temperature_avg,28-32,°C
durian,Durio zibethinus MURR,S2,clim_temperature_avg,22-25,°C
durian,Durio zibethinus MURR,S3,clim_temperature_avg,32-35,°C
durian,Durio zibethinus MURR,S3,clim_temperature_avg,20-22,°C
durian,Durio zibethinus MURR,N,clim_temperature_avg,>35,°C
durian,Durio zibethinus MURR,N,clim_temperature_avg,20<,°C
durian,Durio zibethinus MURR,S1,soil_base_saturation,>35,%
durian,Durio zibethinus MURR,S2,soil_base_saturation,20-35,%
durian,Durio zibethinus MURR,S3,soil_base_saturation,20<,%
durian,Durio zibethinus MURR,S1,soil_cec,>16,cmol
durian,Durio zibethinus MURR,S2,soil_cec,5-16,cmol
durian,Durio zibethinus MURR,S3,soil_cec,5<,cmol
durian,Durio zibethinus MURR,S1,soil_coarse_fragments,15<,%
durian,Durio zibethinus MURR,S2,soil_coarse_fragments,15-35,%
durian,Durio zibethinus MURR,S3,soil_coarse_fragments,35-55,%
durian,Durio zibethinus MURR,N,soil_coarse_fragments,>55,%
durian,Durio zibethinus MURR,S1,soil_depth,>100,cm
durian,Durio zibethinus MURR,S2,soil_depth,75-100,cm
durian,Durio zibethinus MURR,S3,soil_depth,50-75,cm
durian,Durio zibethinus MURR,N,soil_depth,50<,cm
durian,Durio zibethinus MURR,S1,soil_drainage,baik;sedang,unitless
durian,Durio zibethinus MURR,S2,soil_drainage,agakterhambat,unitless
durian,Durio zibethinus MURR,S3,soil_drainage,terhambat;agakcepat,unitless
durian,Durio zibethinus MURR,N,soil_drainage,sangatterhambat;cepat,unitless
durian,Durio zibethinus MURR,S1,soil_erosion_risk,0.15<,unitless
durian,Durio zibethinus MURR,S2,soil_erosion_risk,0.15-0.9,unitless
durian,Durio zibethinus MURR,S2,soil_erosion_risk,0.9-1.8,unitless
durian,Durio zibethinus MURR,S3,soil_erosion_risk,1.8-4.8,unitless
durian,Durio zibethinus MURR,N,soil_erosion_risk,>4.8,unitless
durian,Durio zibethinus MURR,S1,soil_esp,15<,%
durian,Durio zibethinus MURR,S2,soil_esp,15-20,%
durian,Durio zibethinus MURR,S3,soil_esp,20-25,%
durian,Durio zibethinus MURR,N,soil_esp,>25,%
durian,Durio zibethinus MURR,N,soil_flood_height,25,cm
durian,Durio zibethinus MURR,N,soil_flood_length,7<,hari
durian,Durio zibethinus MURR,S1,soil_k2o,>20,mg/100 g
durian,Durio zibethinus MURR,S2,soil_k2o,20-Oct,mg/100 g
durian,Durio zibethinus MURR,S3,soil_k2o,10<,mg/100 g
durian,Durio zibethinus MURR,S1,soil_nitrogen,>0.2,%
durian,Durio zibethinus MURR,S2,soil_nitrogen,0.10-0.20,%
durian,Durio zibethinus MURR,S3,soil_nitrogen,0.10<,%
durian,Durio zibethinus MURR,S1,soil_organic_c,>1.2,%
durian,Durio zibethinus MURR,S2,soil_organic_c,0.8-1.2,%
durian,Durio zibethinus MURR,S3,soil_organic_c,0.8<,%
durian,Durio zibethinus MURR,S1,soil_outcrop,5<,%
durian,Durio zibethinus MURR,S2,soil_outcrop,5-15,%
durian,Durio zibethinus MURR,S3,soil_outcrop,15-25,%
durian,Durio zibethinus MURR,N,soil_outcrop,>25,%
durian,Durio zibethinus MURR,S1,soil_p2o5,>20,mg/100 g
durian,Durio zibethinus MURR,S2,soil_p2o5,15-20,mg/100 g
durian,Durio zibethinus MURR,S3,soil_p2o5,15<,mg/100 g
durian,Durio zibethinus MURR,S1,soil_peat_depth,50<,cm
durian,Durio zibethinus MURR,S2,soil_peat_depth,50-100,cm
durian,Durio zibethinus MURR,S3,soil_peat_depth,100-200,cm
durian,Durio zibethinus MURR,N,soil_peat_depth,>200,cm
durian,Durio zibethinus MURR,S1,soil_peat_maturity,saprik,unitless
durian,Durio zibethinus MURR,S2,soil_peat_maturity,saprik;hemik,unitless
durian,Durio zibethinus MURR,S3,soil_peat_maturity,hemik,unitless
durian,Durio zibethinus MURR,N,soil_peat_maturity,fibrik,unitless
durian,Durio zibethinus MURR,S1,soil_ph,5.5-7.8,unitless
durian,Durio zibethinus MURR,S2,soil_ph,5.0-5.5,unitless
durian,Durio zibethinus MURR,S2,soil_ph,7.8-8.0,unitless
durian,Durio zibethinus MURR,S3,soil_ph,5.0<,unitless
durian,Durio zibethinus MURR,S3,soil_ph,>8.0,unitless
durian,Durio zibethinus MURR,S1,soil_salinity,4<,dS/m
durian,Durio zibethinus MURR,S2,soil_salinity,4-6,dS/m
durian,Durio zibethinus MURR,S3,soil_salinity,6-8,dS/m
durian,Durio zibethinus MURR,N,soil_salinity,>8,dS/m
durian,Durio zibethinus MURR,S1,soil_slope,<8,%
durian,Durio zibethinus MURR,S2,soil_slope,8-15,%
