name_common,name_sp,class,name_parameter,value,unit
rubber,Hevea brassiliensis M.A.,S1,clim_dry_months,1-2,bulan
rubber,Hevea brassiliensis M.A.,S2,clim_dry_months,2-3,bulan
rubber,Hevea brassiliensis M.A.,S3,clim_dry_months,3-4,bulan
rubber,Hevea brassiliensis M.A.,N,clim_dry_months,>4,bulan
rubber,Hevea brassiliensis M.A.,N,clim_dry_months,1<,bulan
rubber,Hevea brassiliensis M.A.,S1,clim_precipitation_tot,2500-3000,mm
rubber,Hevea brassiliensis M.A.,S2,clim_precipitation_tot,2000-2500,mm
rubber,Hevea brassiliensis M.A.,S2,clim_precipitation_tot,3000-3500,mm
rubber,Hevea brassiliensis M.A.,S3,clim_precipitation_tot,1500-2000,mm
rubber,Hevea brassiliensis M.A.,S3,clim_precipitation_tot,3500-4000,mm
rubber,Hevea brassiliensis M.A.,N,clim_precipitation_tot,1500<,mm
rubber,Hevea brassiliensis M.A.,N,clim_precipitation_tot,>4000,mm
rubber,Hevea brassiliensis M.A.,S1,clim_temperature_avg,26-30,°C
rubber,Hevea brassiliensis M.A.,S2,clim_temperature_avg,30-34,°C
rubber,Hevea brassiliensis M.A.,S2,clim_temperature_avg,24-26,°C
rubber,Hevea brassiliensis M.A.,S3,clim_temperature_avg,22-24,°C
rubber,Hevea brassiliensis M.A.,N,clim_temperature_avg,>34,°C
rubber,Hevea brassiliensis M.A.,N,clim_temperature_avg,22<,°C
rubber,Hevea brassiliensis M.A.,S1,soil_base_saturation,35<,%
rubber,Hevea brassiliensis M.A.,S2,soil_base_saturation,35-50,%
rubber,Hevea brassiliensis M.A.,S3,soil_base_saturation,>50,%
rubber,Hevea brassiliensis M.A.,S1,soil_cec,>16,cmol
rubber,Hevea brassiliensis M.A.,S2,soil_cec,5-16,cmol
rubber,Hevea brassiliensis M.A.,S3,soil_cec,5<,cmol
rubber,Hevea brassiliensis M.A.,S1,soil_coarse_fragments,15<,%
rubber,Hevea brassiliensis M.A.,S2,soil_coarse_fragments,15-35,%
rubber,Hevea brassiliensis M.A.,S3,soil_coarse_fragments,35-60,%
rubber,Hevea brassiliensis M.A.,N,soil_coarse_fragments,>60,%
rubber,Hevea brassiliensis M.A.,S1,soil_depth,>100,cm
rubber,Hevea brassiliensis M.A.,S2,soil_depth,75-100,cm
rubber,Hevea brassiliensis M.A.,S3,soil_depth,50-75,cm
rubber,Hevea brassiliensis M.A.,N,soil_depth,50<,cm
rubber,Hevea brassiliensis M.A.,S1,soil_drainage,baik,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_drainage,sedang,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_drainage,agakterhambat;terhambat,unitless
rubber,Hevea brassiliensis M.A.,N,soil_drainage,sangatterhambat;cepat,unitless
rubber,Hevea brassiliensis M.A.,S1,soil_erosion_risk,0.15<,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_erosion_risk,0.15-0.9,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_erosion_risk,0.9-1.8,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_erosion_risk,1.8-4.8,unitless
rubber,Hevea brassiliensis M.A.,N,soil_erosion_risk,>4.8,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_flood_height,25,cm
rubber,Hevea brassiliensis M.A.,N,soil_flood_height,>25,cm
rubber,Hevea brassiliensis M.A.,S3,soil_flood_length,7<,hari
rubber,Hevea brassiliensis M.A.,N,soil_flood_length,>7,hari
rubber,Hevea brassiliensis M.A.,S1,soil_k2o,>20,mg/100 g
rubber,Hevea brassiliensis M.A.,S2,soil_k2o,10-20,mg/100 g
rubber,Hevea brassiliensis M.A.,S3,soil_k2o,10<,mg/100 g
rubber,Hevea brassiliensis M.A.,S1,soil_nitrogen,>0.2,%
rubber,Hevea brassiliensis M.A.,S2,soil_nitrogen,0.10-0.20,%
rubber,Hevea brassiliensis M.A.,S3,soil_nitrogen,0.10<,%
rubber,Hevea brassiliensis M.A.,S1,soil_organic_c,>0.8,%
rubber,Hevea brassiliensis M.A.,S2,soil_organic_c,0.8<,%
rubber,Hevea brassiliensis M.A.,S1,soil_outcrop,5<,%
rubber,Hevea brassiliensis M.A.,S2,soil_outcrop,5-15,%
rubber,Hevea brassiliensis M.A.,S3,soil_outcrop,15-25,%
rubber,Hevea brassiliensis M.A.,N,soil_outcrop,>25,%
rubber,Hevea brassiliensis M.A.,S1,soil_p2o5,>20,mg/100 g
rubber,Hevea brassiliensis M.A.,S2,soil_p2o5,15-20,mg/100 g
rubber,Hevea brassiliensis M.A.,S3,soil_p2o5,15<,mg/100 g
rubber,Hevea brassiliensis M.A.,S1,soil_peat_depth,100<,cm
rubber,Hevea brassiliensis M.A.,S2,soil_peat_depth,100-200,cm
rubber,Hevea brassiliensis M.A.,S3,soil_peat_depth,200-300,cm
rubber,Hevea brassiliensis M.A.,N,soil_peat_depth,>300,cm
rubber,Hevea brassiliensis M.A.,S1,soil_peat_maturity,saprik,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_peat_maturity,saprik;hemik,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_peat_maturity,hemik,unitless
rubber,Hevea brassiliensis M.A.,N,soil_peat_maturity,fibrik,unitless
rubber,Hevea brassiliensis M.A.,S1,soil_ph,5.0-6.0,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_ph,6.0-6.5,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_ph,4.5-5.0,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_ph,>6.5,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_ph,4.5<,unitless
rubber,Hevea brassiliensis M.A.,S1,soil_salinity,0.5<,dS/m
rubber,Hevea brassiliensis M.A.,S2,soil_salinity,0.5-1,dS/m
rubber,Hevea brassiliensis M.A.,S3,soil_salinity,1-2,dS/m
rubber,Hevea brassiliensis M.A.,N,soil_salinity,>2,dS/m
rubber,Hevea brassiliensis M.A.,S1,soil_slope,8<,%
rubber,Hevea brassiliensis M.A.,S2,soil_slope,8-15,%
rubber,Hevea brassiliensis M.A.,S3,soil_slope,15-40,%
rubber,Hevea brassiliensis M.A.,N,soil_slope,>40,%
rubber,Hevea brassiliensis M.A.,S1,soil_sulfidic_depth,>175,cm
rubber,Hevea brassiliensis M.A.,S2,soil_sulfidic_depth,125-175,cm
rubber,Hevea brassiliensis M.A.,S3,soil_sulfidic_depth,75-125,cm
rubber,Hevea brassiliensis M.A.,N,soil_sulfidic_depth,75<,cm
rubber,Hevea brassiliensis M.A.,S1,soil_surface_rocks,5<,%
rubber,Hevea brassiliensis M.A.,S2,soil_surface_rocks,5-15,%
rubber,Hevea brassiliensis M.A.,S3,soil_surface_rocks,15-40,%
rubber,Hevea brassiliensis M.A.,N,soil_surface_rocks,>40,%
rubber,Hevea brassiliensis M.A.,S1,soil_texture,h_ah,unitless
rubber,Hevea brassiliensis M.A.,S2,soil_texture,s,unitless
rubber,Hevea brassiliensis M.A.,S3,soil_texture,ak,unitless
rubber,Hevea brassiliensis M.A.,N,soil_texture,k_sh,unitless
