ID_PU,PU,ID_LC2,2010,C_T2,ID_LC1,2005,C_T1,Freq,Ha,EM,SQ,LU_CHG
1,Hutan Lindung,1,Hutan Primer,261.52,1,Hutan Primer,261.52,3809,3809,0,0,Hutan Primer to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,2,Hutan bekas tebangan kerapatan tinggi,192.81,0,0,0,0,Hutan bekas tebangan kerapatan tinggi to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,3,Hutan bekas tebangan kerapatan rendah,129.97,0,0,0,0,Hutan bekas tebangan kerapatan rendah to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,4,Hutan Rawa Primer,261.52,0,0,0,0,Hutan Rawa Primer to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,5,Hutan Rawa Sekunder,141.3,0,0,0,0,Hutan Rawa Sekunder to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,6,Hutan Rawa Primer Gambut,261.52,0,0,0,0,Hutan Rawa Primer Gambut to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,7,Hutan Rawa Sekunder Gambut,141.3,0,0,0,0,Hutan Rawa Sekunder Gambut to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,8,Hutan Mangrove Primer,261.52,0,0,0,0,Hutan Mangrove Primer to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,9,Hutan Mangrove Sekunder,129.97,0,0,0,0,Hutan Mangrove Sekunder to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,10,Agroforestri karet,69,0,0,0,0,Agroforestri karet to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,11,Agoroforestri kelapa/pinang,31.8,0,0,0,0,Agoroforestri kelapa/pinang to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,12,Agroforestri kayu manis,61.6,0,0,0,0,Agroforestri kayu manis to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,13,Agroforestri kopi,47.6,0,0,0,0,Agroforestri kopi to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,14,Kebun campuran,73.21,0,0,0,0,Kebun campuran to Hutan Primer
1,Hutan Lindung,1,Hutan Primer,261.52,15,HTI Akasia,57.9,0,0,0,0,HTI Akasia to Hutan Primer
